topic	level	parent
C11	2	CCAT
C12	2	CCAT
C13	2	CCAT
C14	2	CCAT
C15	2	CCAT
C151	3	C15
C152	3	C15
C16	2	CCAT
C17	2	CCAT
C171	3	C17
C172	3	C17
C173	3	C17
C174	3	C17
C18	2	CCAT
C181	3	C18
C182	3	C18
C183	3	C18
C21	2	CCAT
C22	2	CCAT
C23	2	CCAT
C24	2	CCAT
C31	2	CCAT
C311	3	C31
C312	3	C31
C313	3	C31
C32	2	CCAT
C33	2	CCAT
C331	3	C33
C34	2	CCAT
C41	2	CCAT
C411	3	C41
C42	2	CCAT
CCAT	1	CORPUS
E11	2	ECAT
E12	2	ECAT
E121	3	E12
E13	2	ECAT
E131	3	E13
E132	3	E13
E14	2	ECAT
E141	3	E14
E142	3	E14
E143	3	E14
E21	2	ECAT
E211	3	E21
E212	3	E21
E31	2	ECAT
E311	3	E31
E312	3	E31
E313	3	E31
E41	2	ECAT
E411	3	E41
E51	2	ECAT
E511	3	E51
E512	3	E51
E513	3	E51
E61	2	ECAT
E71	2	ECAT
ECAT	1	CORPUS
G15	2	GCAT
G151	3	G15
G152	3	G15
G153	3	G15
G154	3	G15
G155	3	G15
G156	3	G15
G157	3	G15
G158	3	G15
G159	3	G15
GCAT	1	CORPUS
GCRIM	2	GCAT
GDEF	2	GCAT
GDIP	2	GCAT
GDIS	2	GCAT
GENT	2	GCAT
GENV	2	GCAT
GFAS	2	GCAT
GHEA	2	GCAT
GJOB	2	GCAT
GMIL	2	GCAT
GOBIT	2	GCAT
GODD	2	GCAT
GPOL	2	GCAT
GPRO	2	GCAT
GREL	2	GCAT
GSCI	2	GCAT
GSPO	2	GCAT
GTOUR	2	GCAT
GVIO	2	GCAT
GVOTE	2	GCAT
GWEA	2	GCAT
GWELF	2	GCAT
M11	2	MCAT
M12	2	MCAT
M13	2	MCAT
M131	3	M13
M132	3	M13
M14	2	MCAT
M141	3	M14
M142	3	M14
M143	3	M14
MCAT	1	CORPUS
